x,V,Ib,gap_mm,D_mm,t,width,height,width_in,height_in,Ia,IE,config,test,duration2,Iameas,Wh,D_in,IEmeas,Ia2002,IE2002,Ibf1,IErate,IEratemeas,joules,energyratio
3,14.4,5.176,254.0,1219.2,749.7,914.4,914.4,36,36,4.677133243,5.678208294,EPRI HCB,124,749.7,5.158804,1781.0,48,15.580263,5.080148004,3.504167562,,7.573973981592636,20.781996798719486,6.4116e6,2.430011697548194
3,14.4,5.176,254.0,1219.2,499.4,914.4,914.4,36,36,4.677133243,3.782442606,EPRI HCB,125,499.4,5.181419,1136.0,48,10.779185,5.080148004,2.334242071,,7.573973980776933,21.584271125350423,4.0896e6,2.6357553305946793
3,14.4,5.176,254.0,1219.2,499.6,914.4,914.4,36,36,4.677133243,3.783957401,EPRI HCB,126,499.6,5.186614,1062.0,48,8.751652,5.080148004,2.33517689,,7.573973981184947,17.517317854283426,3.8232e6,2.2890908139778197
3,14.4,5.176,254.0,1473.2,499.9,914.4,914.4,36,36,4.677133243,2.768400095,EPRI HCB,127,499.9,5.186479,1112.0,58,6.708785,5.080148004,1.943626346,,5.537907771554312,13.420254050810163,4.0032e6,1.675855565547562
3,14.4,5.176,254.0,1473.2,499.5,914.4,914.4,36,36,4.677133243,2.766184932,EPRI HCB,128,499.5,5.184401,1112.0,58,6.453307,5.080148004,1.942071133,,5.5379077717717715,12.919533533533533,4.0032e6,1.612037120303757
3,14.4,5.176,254.0,1473.2,749.7,914.4,914.4,36,36,4.677133243,4.151769456,EPRI HCB,129,749.7,5.152987,1112.0,58,9.571895,5.080148004,2.914856314,,5.5379077711084435,12.767633720154729,4.0032e6,2.3910609012789767
3,14.4,5.176,254.0,1473.2,749.4,914.4,914.4,36,36,4.677133243,4.150108084,EPRI HCB,130,749.4,5.158379,1614.0,58,9.252316,5.080148004,2.913689905,,5.537907771550574,12.346298372030958,5.8104e6,1.5923716095277434
3,14.4,3.005,254.0,1219.2,1247.2,914.4,914.4,36,36,2.718961459,5.248224446,EPRI HCB,132,1247.2,2.946103,1680.0,48,15.612827,2.976741487,3.271110814,,4.208005489095574,12.518302597819114,6.048e6,2.581485945767196
3,14.4,3.005,254.0,914.4,1246.7,914.4,914.4,36,36,2.718961459,8.444005679,EPRI HCB,133,1246.7,2.953038,1547.0,36,23.97118,2.976741487,4.325999897,,6.773085488890671,19.227705141573754,5.5692e6,4.304241183652948
3,14.4,3.005,254.0,1473.2,750.0,914.4,914.4,36,36,2.718961459,2.3075944,EPRI HCB,134,750.0,2.961539,853.0,58,3.850784,2.976741487,1.636261471,,3.0767925333333337,5.134378666666667,3.0708e6,1.2540002605184317
3,14.4,3.005,254.0,914.4,749.7,914.4,914.4,36,36,2.718961459,5.077782191,EPRI HCB,135,749.7,2.553443,862.0,36,17.358768,2.976741487,2.601429472,,6.773085488862211,23.154285714285713,3.1032e6,5.593828306264502
3,14.4,3.005,254.0,1219.2,751.0,914.4,914.4,36,36,2.718961459,3.160212122,EPRI HCB,136,751.0,2.579638,843.0,48,9.169038,2.976741487,1.969695495,,4.208005488681757,12.2091051930759,3.0348e6,3.0212989323843416
3,14.4,3.005,254.0,1473.2,1251.1,914.4,914.4,36,36,2.718961459,3.849375138,EPRI HCB,138,1251.1,2.950098667,1470.0,58,12.676852,2.976741487,2.729502302,,3.076792532970986,10.132564942850292,5.292e6,2.395474678760393
1,14.4,5.176,254.0,914.4,758.1,914.4,914.4,36,36,4.876944029,4.721152836,EPRI VCB,50,758.1,5.206943,1424.0,36,5.2,5.080148004,4.688017688,,6.22761223585279,6.859253396649519,5.1264e6,1.0143570536828963
1,14.4,5.176,254.0,609.6,508.6,914.4,914.4,36,36,4.876944029,5.981466402,EPRI VCB,51,508.6,5.214026,985.0,24,4.8,5.080148004,4.666334806,,11.760649630357843,9.43767204089658,3.546e6,1.353637901861252
1,14.4,5.176,254.0,609.6,341.7,914.4,914.4,36,36,4.876944029,4.018613979,EPRI VCB,52,341.7,5.212112,681.0,24,3.7,5.080148004,3.135050341,,11.760649631255488,10.828211881767634,2.4516e6,1.5092184695708926
1,14.4,8.195,254.0,609.6,209.7,914.4,914.4,36,36,7.71669917,3.823747062,EPRI VCB,53,209.7,8.370794,640.0,24,2.9,7.980656631,3.13508539,,18.23436844062947,13.829279923700526,2.304e6,1.2586805555555556
1,14.4,8.195,254.0,609.6,508.8,914.4,914.4,36,36,7.71669917,9.277646663,EPRI VCB,54,508.8,8.330818,1687.0,24,6.4,7.980656631,7.606730788,,18.23436844143082,12.578616352201259,6.0732e6,1.0538101824408879
1,14.4,8.195,254.0,609.6,342.7,914.4,914.4,36,36,7.71669917,6.248918065,EPRI VCB,55,342.7,8.333303,1173.0,24,5.3,7.980656631,5.123480033,,18.23436844178582,15.465421651590313,4.2228e6,1.255091408544094
1,14.4,5.176,254.0,609.6,341.9,914.4,914.4,36,36,4.876944029,4.020966108,EPRI VCB,56,341.9,5.256591,642.0,24,2.6,5.080148004,3.136885313,,11.760649628546359,7.604562737642587,2.3112e6,1.124956732433368
1,14.4,5.176,254.0,609.6,508.9,914.4,914.4,36,36,4.876944029,5.984994597,EPRI VCB,57,508.9,5.241552,956.0,24,4.5,5.080148004,4.669087265,,11.760649630575752,8.842601689919434,3.4416e6,1.3075313807531381
1,14.4,8.195,254.0,609.6,198.6,914.4,914.4,36,36,7.71669917,3.621345572,EPRI VCB,58,198.6,8.344501,665.0,24,2.4,7.980656631,2.969136664,,18.234368439073513,12.084592145015106,2.394e6,1.0025062656641603
1,14.4,8.195,254.0,609.6,499.7,914.4,914.4,36,36,7.71669917,9.11171391,EPRI VCB,59,499.7,8.271447,1581.0,24,5.2,7.980656631,7.470682733,,18.23436844106464,10.406243746247748,5.6916e6,0.9136270995853538
1,14.4,8.195,254.0,609.6,334.2,914.4,914.4,36,36,7.71669917,6.093925933,EPRI VCB,60,334.2,8.314995,1111.0,24,4.1,7.980656631,4.99640218,,18.234368441053263,12.268102932375822,3.9996e6,1.025102510251025
1,14.4,5.176,254.0,609.6,751.0,914.4,914.4,36,36,4.876944029,8.832247872,EPRI VCB,61,751.0,5.195382,1330.0,24,5.4,5.080148004,6.890321351,,11.760649629826897,7.1904127829560585,4.788e6,1.1278195488721805
1,14.4,5.176,254.0,609.6,750.9,914.4,914.4,36,36,4.876944029,8.831071807,EPRI VCB,62,750.9,5.193899,1398.0,24,7.2,5.080148004,6.889403865,,11.760649629777602,9.588493807431083,5.0328e6,1.4306151645207439
1,14.4,5.176,254.0,914.4,508.6,914.4,914.4,36,36,4.876944029,3.167363583,EPRI VCB,51,508.6,5.214026,985.0,36,2.9,5.080148004,3.145133618,,6.227612235548564,5.701926858041682,3.546e6,0.8178228990411731
1,14.4,5.176,254.0,914.4,341.7,914.4,914.4,36,36,4.876944029,2.127975101,EPRI VCB,52,341.7,5.212112,681.0,36,2.1,5.080148004,2.113040026,,6.227612235879427,6.145741878841089,2.4516e6,0.8565834557023985
1,14.4,8.195,254.0,914.4,209.7,914.4,914.4,36,36,7.71669917,2.024787324,EPRI VCB,53,209.7,8.370794,640.0,36,1.6,7.980656631,2.11306365,,9.65563816881259,7.629947544110634,2.304e6,0.6944444444444445
1,14.4,8.195,254.0,914.4,508.8,914.4,914.4,36,36,7.71669917,4.912788701,EPRI VCB,54,508.8,8.330818,1687.0,36,4.5,7.980656631,5.126975608,,9.655638170204401,8.84433962264151,6.0732e6,0.7409602845287492
1,14.4,8.195,254.0,914.4,342.7,914.4,914.4,36,36,7.71669917,3.308987201,EPRI VCB,55,342.7,8.333303,1173.0,36,3.1,7.980656631,3.453251849,,9.655638170411438,9.045812664137731,4.2228e6,0.7341100691484324
1,14.4,5.176,254.0,914.4,341.9,914.4,914.4,36,36,4.876944029,2.129220623,EPRI VCB,56,341.9,5.256591,642.0,36,1.4,5.080148004,2.114276807,,6.227612234571513,4.094764551038316,2.3112e6,0.6057459328487366
1,14.4,5.176,254.0,914.4,508.9,914.4,914.4,36,36,4.876944029,3.169231867,EPRI VCB,57,508.9,5.241552,956.0,36,2.5,5.080148004,3.14698879,,6.227612236195717,4.912556494399685,3.4416e6,0.7264063226406323
1,14.4,8.195,254.0,914.4,198.6,914.4,914.4,36,36,7.71669917,1.917609741,EPRI VCB,58,198.6,8.344501,665.0,36,1.3,7.980656631,2.001213356,,9.655638172205439,6.545820745216516,2.394e6,0.5430242272347535
1,14.4,8.195,254.0,914.4,499.7,914.4,914.4,36,36,7.71669917,4.824922394,EPRI VCB,59,499.7,8.271447,1581.0,36,3.6,7.980656631,5.03527852,,9.655638170902542,7.2043225935561335,5.6916e6,0.6325110689437066
1,14.4,8.195,254.0,914.4,334.2,914.4,914.4,36,36,7.71669917,3.226914277,EPRI VCB,60,334.2,8.314995,1111.0,36,2.5,7.980656631,3.367600723,,9.655638171753443,7.480550568521843,3.9996e6,0.6250625062506251
1,14.4,5.176,254.0,914.4,751.0,914.4,914.4,36,36,4.876944029,4.676936789,EPRI VCB,61,751.0,5.195382,1330.0,36,3.5,5.080148004,4.644111969,,6.227612235685752,4.660452729693742,4.788e6,0.7309941520467836
1,14.4,5.176,254.0,914.4,750.9,914.4,914.4,36,36,4.876944029,4.676314028,EPRI VCB,62,750.9,5.193899,1398.0,36,4.3,5.080148004,4.643493578,,6.227612235983487,5.726461579438007,5.0328e6,0.8543951676998887
3,14.4,2.082,254.0,838.2,334.6,914.4,914.4,36,36,1.885618761,1.760400349,EPRI Transformer,64,334.6,2.1,165.0,33,0.7,2.075327079,0.855608646,2063.453877,5.261208454871488,2.092050209205021,594000.0,1.1784511784511784
3,14.4,2.082,254.0,838.2,334.7,914.4,914.4,36,36,1.885618761,1.76092647,EPRI Transformer,65,334.7,2.1,167.0,33,0.7,2.075327079,0.855864356,2080.564466,5.261208455333135,2.091425156856887,601200.0,1.164337990685296
3,14.4,2.082,254.0,838.2,663.9,914.4,914.4,36,36,1.885618761,3.492916293,EPRI Transformer,66,663.9,2.1,156.0,33,0.8,2.075327079,1.697664614,2111.403016,5.261208454586534,1.2050007531254707,561600.0,1.4245014245014247
3,14.4,2.082,254.0,838.2,602.1,914.4,914.4,36,36,1.885618761,3.16777361,EPRI Transformer,67,602.1,2.1,156.0,33,2.7,2.075327079,1.539635282,2064.922154,5.261208453745224,4.484304932735426,561600.0,4.8076923076923075
3,14.4,2.082,254.0,838.2,334.8,914.4,914.4,36,36,1.885618761,1.76145259,EPRI Transformer,68,334.8,2.2,82.0,33,0.2,2.075327079,0.856120067,2149.042137,5.261208452807646,0.5973715651135005,295200.0,0.6775067750677508
3,14.4,6.118,254.0,838.2,335.2,914.4,914.4,36,36,5.526829228,5.654685158,EPRI Transformer,70,335.2,6.4,626.0,33,4.0,5.987659724,2.694620514,6152.133424,16.869585793556087,11.933174224343675,2.2536e6,1.774937877174299
3,14.4,6.118,254.0,838.2,334.7,914.4,914.4,36,36,5.526829228,5.646250365,EPRI Transformer,71,334.7,6.2,620.0,33,3.0,5.987659724,2.690601092,6135.752847,16.869585793247687,8.9632506722438,2.232e6,1.3440860215053763
3,14.4,6.118,254.0,838.2,669.2,914.4,914.4,36,36,5.526829228,11.28912681,EPRI Transformer,72,669.2,6.1,1219.0,33,7.0,5.987659724,5.379594414,6130.159263,16.869585789001793,10.460251046025103,4.3884e6,1.5951143924892899
3,14.4,6.118,254.0,838.2,669.2,914.4,914.4,36,36,5.526829228,11.28912681,EPRI Transformer,73,669.2,6.3,1170.0,33,7.4,5.987659724,5.379594414,6174.511574,16.869585789001793,11.05797967722654,4.212e6,1.7568850902184237
3,14.4,2.082,254.0,838.2,331.5,914.4,914.4,36,36,1.885618761,1.744090603,EPRI Transformer,74,331.5,2.2,75.0,33,1.0,2.075327079,0.847681608,2109.960678,5.26120845550528,3.0165912518853695,270000.0,3.7037037037037037
3,14.4,2.082,254.0,838.2,333.4,914.4,914.4,36,36,1.885618761,1.754086899,EPRI Transformer,75,333.4,2.2,90.0,33,0.5,2.075327079,0.852540115,2138.569845,5.261208455308939,1.4997000599880026,324000.0,1.5432098765432098
3,14.4,2.082,254.0,838.2,668.0,914.4,914.4,36,36,1.885618761,3.514487247,EPRI Transformer,76,668.0,2.1,197.0,33,1.2,2.075327079,1.70814876,2133.461246,5.261208453592814,1.7964071856287425,709200.0,1.6920473773265652
3,14.4,2.082,254.0,838.2,662.9,914.4,914.4,36,36,1.885618761,3.487655084,EPRI Transformer,77,662.9,2.1,122.0,33,1.0,2.075327079,1.695107505,2110.483586,5.261208453763765,1.508523155830442,439200.0,2.276867030965392
3,14.4,6.118,254.0,838.2,334.5,914.4,914.4,36,36,5.526829228,5.642876448,EPRI Transformer,78,334.5,6.9,266.0,33,3.8,5.987659724,2.688993323,6820.37765,16.869585793721974,11.360239162929746,957600.0,3.968253968253968
3,14.4,6.118,254.0,838.2,335.7,914.4,914.4,36,36,5.526829228,5.663119951,EPRI Transformer,79,335.7,6.8,348.0,33,3.5,5.987659724,2.698639936,6537.992786,16.869585793863568,10.425975573428657,1.2528e6,2.793742017879949
3,14.4,6.118,254.0,838.2,668.9,914.4,914.4,36,36,5.526829228,11.28406594,EPRI Transformer,80,668.9,6.6,348.0,33,6.7,5.987659724,5.377182761,6979.018681,16.869585797578114,10.016444909552998,1.2528e6,5.3480204342273305
3,14.4,6.118,254.0,838.2,667.4,914.4,914.4,36,36,5.526829228,11.25876156,EPRI Transformer,81,667.4,6.6,726.0,33,6.3,5.987659724,5.365124495,6605.248976,16.86958579562481,9.439616421935872,2.6136e6,2.4104683195592287
3,14.4,6.118,254.0,838.2,335.0,914.4,914.4,36,36,5.526829228,5.651311241,EPRI Transformer,82,335.0,6.7,239.0,33,4.0,5.987659724,2.693012745,6827.725854,16.869585794029852,11.940298507462687,860400.0,4.6490004649000465
3,14.4,6.118,254.0,838.2,668.4,914.4,914.4,36,36,5.526829228,11.27563114,EPRI Transformer,83,668.4,6.8,433.0,33,5.6,5.987659724,5.373163339,6875.241054,16.869585786953923,8.378216636744463,1.5588e6,3.5925070567102897
3,14.4,6.118,254.0,838.2,733.8,914.4,914.4,36,36,5.526829228,12.37890206,EPRI Transformer,84,733.8,6.8,392.0,33,2.4,5.987659724,5.898903738,6831.749541,16.86958579994549,3.270645952575634,1.4112e6,1.7006802721088434
3,14.4,2.082,254.0,838.2,335.2,914.4,914.4,36,36,1.885618761,1.763557074,EPRI Transformer,85,335.2,2.1,61.0,33,0.5,2.075327079,0.857142911,2105.969771,5.2612084546539375,1.4916467780429594,219600.0,2.276867030965392
3,14.4,2.082,254.0,838.2,335.2,914.4,914.4,36,36,1.885618761,1.763557074,EPRI Transformer,86,335.2,2.2,157.0,33,0.9,2.075327079,0.857142911,2068.730331,5.2612084546539375,2.684964200477327,565200.0,1.5923566878980893
3,14.4,2.082,254.0,838.2,334.1,914.4,914.4,36,36,1.885618761,1.757769745,EPRI Transformer,87,334.1,2.2,119.0,33,0.6,2.075327079,0.854330091,2140.857093,5.26120845555223,1.7958695001496556,428400.0,1.400560224089636
3,14.4,2.082,254.0,838.2,666.8,914.4,914.4,36,36,1.885618761,3.508173797,EPRI Transformer,88,666.8,2.1,329.0,33,2.6,2.075327079,1.70508023,1630.742865,5.261208453809238,3.8992201559688064,1.1844e6,2.1952043228638973
3,14.4,2.082,254.0,838.2,668.5,914.4,914.4,36,36,1.885618761,3.517117852,EPRI Transformer,89,668.5,2.1,152.0,33,0.7,2.075327079,1.709427315,2109.812677,5.26120845474944,1.0471204188481675,547200.0,1.2792397660818713
3,14.4,4.118,254.0,838.2,333.3,914.4,914.4,36,36,3.722993907,3.664618913,EPRI Transformer,91,333.3,4.3,306.0,33,1.9,4.057482678,1.759298137,,10.994956234623462,5.7005700570057,1.1016e6,1.7247639796659404
3,14.4,4.118,254.0,838.2,333.0,914.4,914.4,36,36,3.722993907,3.661320426,EPRI Transformer,92,333.0,4.3,302.0,33,1.8,4.057482678,1.75771461,,10.994956234234234,5.405405405405405,1.0872e6,1.6556291390728477
3,14.4,4.118,254.0,838.2,666.6,914.4,914.4,36,36,3.722993907,7.329237826,EPRI Transformer,93,666.6,4.1,682.0,33,5.6,4.057482678,3.518596274,,10.994956234623462,8.4008400840084,2.4552e6,2.280873248615184
3,14.4,4.118,254.0,838.2,665.1,914.4,914.4,36,36,3.722993907,7.312745391,EPRI Transformer,94,665.1,4.2,637.0,33,2.4,4.057482678,3.51067864,,10.994956233649074,3.608479927830401,2.2932e6,1.0465724751439038
3,14.4,4.118,254.0,838.2,997.0,914.4,914.4,36,36,3.722993907,10.96197137,EPRI Transformer,95,997.0,4.3,718.0,33,2.8,4.057482678,5.262586986,,10.99495623871615,2.8084252758274824,2.5848e6,1.0832559579077685
3,14.4,2.082,254.0,838.2,334.9,914.4,914.4,36,36,1.885618761,1.761978711,EPRI Transformer,96,334.9,2.2,76.0,33,1.6,2.075327079,0.856375778,2140.952191,5.261208453269633,4.77754553598089,273600.0,5.847953216374269
3,14.4,2.082,254.0,838.2,328.8,914.4,914.4,36,36,1.885618761,1.72988534,EPRI Transformer,97,328.8,2.2,77.0,33,1.9,2.075327079,0.840777414,2103.397613,5.261208454987835,5.778588807785888,277200.0,6.854256854256853
3,14.4,2.082,254.0,838.2,662.9,914.4,914.4,36,36,1.885618761,3.487655084,EPRI Transformer,98,662.9,2.1,156.0,33,4.6,2.075327079,1.695107505,2091.578178,5.261208453763765,6.9392065168200325,561600.0,8.19088319088319
3,14.4,2.082,254.0,838.2,665.5,914.4,914.4,36,36,1.885618761,3.501334226,EPRI Transformer,99,665.5,2.1,224.0,33,2.6,2.075327079,1.701755988,2138.191074,5.26120845379414,3.9068369646882046,806400.0,3.2242063492063493
3,14.4,4.118,254.0,838.2,335.6,914.4,914.4,36,36,3.722993907,3.689907312,EPRI Transformer,100,335.6,4.5,251.0,33,3.4,4.057482678,1.771438508,4357.093819,10.994956233611441,10.131108462455304,903600.0,3.7627268702965915
